Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,JAP,1.0724,0.804298,0.536199,0.412075,0.362387,0.324136,0.294609,0.270558,0.243823,0.209371,0.17304,0.138863,0.109891,0.0872079,0.0699742,0.0569256,0.046025,0.0359667,0.0280123,0.0244456,0.0256099,0.0316822,0.0436427,0.0615505,0.0860383,0.126054,0.201585
regional_emissions,OCE,0.303225,0.227419,0.151613,0.108045,0.109163,0.086916,0.0591417,0.0384897,0.0236749,0.0102112,-0.00390554,-0.017417,-0.0295475,-0.0419143,-0.0540666,-0.0645418,-0.073822,-0.0828641,-0.0904695,-0.0940072,-0.0926431,-0.0857864,-0.0719849,-0.050885,-0.0216095,0.0263962,0.116708
regional_emissions,RSAS,0.452158,0.339119,0.330894,0.342233,0.345946,0.340761,0.337859,0.344433,0.348714,0.340636,0.327288,0.313871,0.299896,0.283756,0.266756,0.250713,0.235481,0.22029,0.207893,0.205003,0.214777,0.239846,0.284934,0.351423,0.442173,0.588741,0.861415
regional_emissions,RSAF,0.860255,0.645192,0.430134,0.742026,0.903664,0.688602,0.473538,0.258485,0.207141,0.173012,0.174434,0.228134,0.273328,0.264902,0.244135,0.249514,0.266743,0.277604,0.284827,0.297128,0.317657,0.348628,0.394585,0.45745,0.539968,0.668525,0.90172
baseline,CAN,0.472864,0.480992,0.50459,0.5277,0.519898,0.464093,0.411014,0.410914,0.444341,0.47816,0.494214,0.480538,0.43493,0.367857,0.330694,0.365248,0.434177,0.491726,0.53766,0.580772,0.620447,0.654335,0.682537,0.705666,0.72393,0.737229,0.744627
baseline,USA,5.08017,4.82556,4.59297,4.44715,4.36762,4.31681,4.27385,4.21612,4.09712,3.89321,3.69611,3.60738,3.65245,3.82126,4.03795,4.23078,4.41052,4.59937,4.78309,4.94321,5.08114,5.20183,5.30468,5.38831,5.45371,5.5015,5.52823
baseline,MEX,0.556216,0.58534,0.609958,0.622452,0.638333,0.668926,0.685675,0.663832,0.633746,0.626313,0.61952,0.588978,0.553718,0.535308,0.522042,0.498733,0.469533,0.441879,0.417024,0.394733,0.375016,0.357932,0.343511,0.331745,0.322507,0.315767,0.312005
baseline,RCAM,0.307379,0.34615,0.381853,0.398415,0.404833,0.415496,0.441292,0.486187,0.529959,0.554358,0.573208,0.602908,0.638089,0.669622,0.695101,0.714692,0.732117,0.750765,0.769133,0.785073,0.798746,0.810729,0.820956,0.829266,0.835762,0.840509,0.843165
baseline,BRA,1.56929,1.62738,1.74908,1.99692,2.28437,2.47355,2.37036,1.8743,1.31557,1.04986,1.10406,1.36662,1.50102,1.2469,0.873626,0.685743,0.598966,0.47199,0.324305,0.202977,0.104577,0.0164829,-0.0602195,-0.122103,-0.170084,-0.205247,-0.225016
baseline,RSAM,1.41277,1.56541,1.63067,1.59517,1.67157,2.0062,2.25396,2.0856,1.72656,1.48599,1.45303,1.60484,1.69077,1.50794,1.2723,1.22278,1.27131,1.28393,1.27032,1.26637,1.26952,1.27014,1.26893,1.26845,1.26853,1.26847,1.26833
baseline,NAF,0.636133,0.729478,0.812685,0.881044,0.932225,0.969743,1.01812,1.09704,1.18593,1.25816,1.30321,1.31907,1.32147,1.32606,1.33042,1.32953,1.32598,1.32335,1.32154,1.31973,1.31799,1.31652,1.31532,1.31433,1.31355,1.31298,1.31266
baseline,WAF,2.31181,3.02232,3.3884,3.2825,3.07246,3.06943,2.86261,2.09568,1.35224,1.2435,1.55131,1.90576,2.15947,2.25813,2.29705,2.37943,2.49017,2.59278,2.6833,2.76504,2.8378,2.9007,2.95368,2.99694,3.03093,3.05573,3.06956
baseline,EAF,0.353374,0.49223,0.586866,0.60302,0.566116,0.509006,0.434575,0.347332,0.288243,0.290156,0.316993,0.333782,0.378916,0.484599,0.584944,0.614761,0.609743,0.617764,0.634542,0.64642,0.654382,0.662088,0.669261,0.674915,0.679181,0.682338,0.684141
baseline,SAF,0.491935,0.532783,0.539097,0.510507,0.482724,0.488049,0.509058,0.520399,0.514731,0.491507,0.459351,0.427664,0.399808,0.375704,0.347566,0.308633,0.263957,0.220412,0.180348,0.144726,0.113461,0.0862929,0.0632953,0.0445516,0.0298517,0.0191223,0.0131299
baseline,WEU,3.02598,2.92131,2.81243,2.69388,2.64034,2.72286,2.91805,3.16145,3.31899,3.28925,3.17128,3.07565,2.95881,2.77709,2.6406,2.65278,2.73671,2.79549,2.83282,2.87143,2.9097,2.94156,2.96737,2.98875,3.00581,3.01819,3.02504
baseline,CEU,0.760393,0.738063,0.715373,0.713698,0.717095,0.708086,0.700378,0.70641,0.702375,0.667678,0.630822,0.618122,0.598032,0.542061,0.491793,0.489657,0.511407,0.524642,0.531021,0.538568,0.546712,0.553302,0.55848,0.562819,0.566325,0.568858,0.570248
baseline,TUR,0.423751,0.45424,0.466611,0.461985,0.455477,0.46122,0.475422,0.490235,0.499527,0.499048,0.490365,0.478594,0.477219,0.494131,0.506463,0.492408,0.465142,0.442232,0.423822,0.406589,0.390766,0.377239,0.365973,0.356737,0.349445,0.344135,0.341181
baseline,UKR,0.412367,0.402912,0.404498,0.433893,0.458792,0.448612,0.428718,0.427294,0.427852,0.410455,0.386067,0.369027,0.3563,0.342871,0.33319,0.33182,0.334326,0.335426,0.335462,0.33581,0.336371,0.336777,0.337053,0.337297,0.337507,0.337655,0.337734
baseline,STAN,0.452766,0.508659,0.555478,0.56389,0.54304,0.512812,0.497564,0.510273,0.513905,0.480101,0.465191,0.518349,0.5754,0.568798,0.530853,0.506495,0.49129,0.472275,0.451726,0.434444,0.420076,0.407334,0.396338,0.387438,0.380512,0.375443,0.3726
baseline,RUS,1.78339,1.92277,2.02792,2.0459,2.0014,1.92999,1.83337,1.71908,1.65201,1.67456,1.68195,1.57873,1.45392,1.4055,1.38287,1.31923,1.23161,1.151,1.08034,1.01638,0.959324,0.91004,0.868563,0.834687,0.808056,0.788635,0.777803
baseline,ME,2.1014,2.38371,2.67341,2.96659,3.24121,3.47567,3.66826,3.82165,3.93617,4.0076,4.01588,3.9645,3.96684,4.11601,4.31405,4.45012,4.55276,4.67041,4.79147,4.89496,4.98243,5.05952,5.12566,5.1793,5.22114,5.25174,5.26888
baseline,INDIA,2.73772,3.28596,3.78239,4.19101,4.6015,5.10346,5.66042,6.21371,6.74193,7.21971,7.56859,7.73757,7.83866,7.96936,8.00633,7.82888,7.54784,7.29939,7.08935,6.89659,6.72255,6.57287,6.44745,6.34485,6.26406,6.20517,6.17236
