Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,INDIA,2.77719,2.0829,1.88598,1.94833,2.00751,2.09567,2.12235,2.02506,1.82318,1.52044,1.10453,0.584112,-0.11004,-0.804332,-1.49863,-2.19292,-2.88722,6.40391e-06,3.09653e-06,3.72269e-06,4.42862e-06,5.2401e-06,6.1757e-06,7.2539e-06,8.50496e-06,9.96569e-06,-1.96091e-05
regional_emissions,KOR,0.784572,0.588429,0.408436,0.372944,0.333309,0.295397,0.253634,0.207324,0.161023,0.116358,0.0739412,0.0348965,-2.29026e-05,-0.031811,-0.0627295,-0.0943218,-0.127481,-6.86617e-07,-9.16465e-07,-1.11346e-06,-1.34083e-06,-1.60287e-06,-1.90358e-06,-2.2475e-06,-2.643e-06,-3.1031e-06,-3.29263e-06
regional_emissions,CHN,11.3913,8.54349,6.15534,5.74979,5.25936,4.73174,4.08397,3.32381,2.54791,1.80344,1.11708,0.513094,-0.000324196,-0.447933,-0.872328,-1.29869,-1.73853,4.07144e-06,8.91324e-07,9.32324e-07,9.68381e-07,1.00184e-06,1.03853e-06,1.08725e-06,1.15631e-06,1.25478e-06,-1.40235e-05
regional_emissions,SEAS,1.51417,1.13563,0.982134,0.965384,0.906037,0.827034,0.744451,0.667914,0.577093,0.457598,0.322078,0.172886,-0.000126117,-0.189881,-0.39515,-0.638377,-0.936215,7.46808e-07,1.93109e-07,2.56325e-07,3.28504e-07,4.11878e-07,5.08623e-07,6.21134e-07,7.51945e-07,9.01547e-07,-4.45266e-06
regional_emissions,INDO,1.63506,1.22629,0.835855,0.800257,0.751952,0.676522,0.589191,0.508402,0.428522,0.337899,0.232857,0.117958,-8.22672e-05,-0.124678,-0.264007,-0.41848,-0.591614,3.16403e-07,-3.08366e-07,-3.75505e-07,-4.5521e-07,-5.47177e-07,-6.51984e-07,-7.707e-07,-9.0583e-07,-1.06278e-06,-4.70532e-06
regional_emissions,JAP,1.06462,0.798468,0.532312,0.415496,0.378756,0.34763,0.312121,0.268615,0.218798,0.163704,0.106887,0.0518847,-3.51532e-05,-0.0514655,-0.106172,-0.16423,-0.226582,-4.80326e-07,-7.87902e-07,-9.58009e-07,-1.15495e-06,-1.38194e-06,-1.64225e-06,-1.93972e-06,-2.28149e-06,-2.67894e-06,-3.35393e-06
regional_emissions,OCE,0.388396,0.291297,0.194198,0.182295,0.194282,0.190508,0.166297,0.12901,0.0988564,0.0806318,0.0583702,0.0285085,-1.89334e-05,-0.0282628,-0.0617843,-0.100127,-0.143682,-1.11113e-06,-8.73477e-07,-1.05062e-06,-1.25496e-06,-1.48989e-06,-1.75915e-06,-2.06725e-06,-2.42211e-06,-2.83598e-06,2.68542e-07
regional_emissions,RSAS,0.417044,0.312783,0.317096,0.346824,0.375072,0.406187,0.431406,0.440086,0.364356,0.260096,0.155836,0.0515753,-0.0526853,-0.156946,-0.261207,-0.365467,-0.469728,-5.05797e-06,9.03729e-07,1.21053e-06,1.56365e-06,1.97532e-06,2.45194e-06,2.99823e-06,3.62412e-06,4.36066e-06,4.39465e-05
regional_emissions,RSAF,0.786528,0.589896,0.393265,0.493848,0.5701,0.491635,0.352698,0.252558,0.198219,0.168025,0.135593,0.0825834,-6.81432e-05,-0.114618,-0.28064,-0.477258,-0.673882,-7.94513e-07,-3.59489e-09,6.31016e-08,1.4077e-07,2.33115e-07,3.41346e-07,4.6551e-07,6.06474e-07,7.63012e-07,4.85606e-06
baseline,CAN,0.511577,0.52167,0.547763,0.581413,0.594306,0.567937,0.542928,0.559884,0.600207,0.634257,0.647446,0.633692,0.605914,0.581114,0.573631,0.591655,0.62143,0.647458,0.669228,0.689289,0.707467,0.72308,0.736146,0.746839,0.755265,0.761405,0.764825
baseline,USA,5.39382,5.17224,4.9841,4.9472,5.01385,5.10596,5.18926,5.24312,5.2575,5.23023,5.18002,5.1344,5.13521,5.20926,5.30894,5.38353,5.44441,5.51187,5.57987,5.63841,5.68824,5.73203,5.76951,5.79994,5.8237,5.84107,5.85079
baseline,MEX,0.572878,0.588908,0.621429,0.675739,0.726442,0.750348,0.763798,0.788,0.824108,0.866544,0.902858,0.922819,0.931942,0.939962,0.957754,0.992513,1.03559,1.07654,1.11344,1.14649,1.17571,1.20103,1.22241,1.23986,1.25355,1.26354,1.26912
baseline,RCAM,0.302334,0.319572,0.339746,0.358329,0.384785,0.429758,0.494634,0.5762,0.662097,0.739931,0.806294,0.861178,0.909188,0.95474,0.996896,1.03446,1.07058,1.10808,1.14426,1.17588,1.2032,1.22708,1.24741,1.26394,1.27688,1.28633,1.29162
baseline,BRA,1.57743,1.61116,1.70202,1.91526,2.14246,2.25251,2.1973,1.97715,1.703,1.5032,1.46498,1.60748,1.71852,1.61376,1.45166,1.41593,1.44855,1.45611,1.44543,1.44164,1.44294,1.44258,1.44107,1.44019,1.43982,1.43947,1.4392
baseline,RSAM,1.38348,1.54193,1.63386,1.63938,1.7118,1.96297,2.16572,2.1061,1.96226,1.94931,2.03828,2.14532,2.21099,2.20343,2.17635,2.18657,2.21749,2.24131,2.25863,2.27551,2.29154,2.30508,2.31622,2.3254,2.33267,2.33797,2.3409
baseline,NAF,0.583268,0.654534,0.714995,0.759129,0.786486,0.803295,0.837452,0.912309,1.01137,1.11042,1.19415,1.25503,1.3078,1.36865,1.4373,1.50995,1.58509,1.66104,1.73289,1.79613,1.85112,1.89907,1.9398,1.97295,1.99892,2.01788,2.02848
baseline,WAF,1.817,2.71426,3.17501,2.8918,2.47973,2.52652,2.58774,2.2007,1.86176,2.12201,2.79241,3.55913,4.34925,5.15389,5.9795,6.83379,7.71426,8.60531,9.44903,10.1915,10.8368,11.3996,11.8777,12.2668,12.5716,12.7942,12.9186
baseline,EAF,0.283526,0.457412,0.583739,0.603844,0.57115,0.552883,0.559408,0.58963,0.653478,0.764594,0.940444,1.19516,1.5257,1.91392,2.29846,2.62812,2.93544,3.25834,3.57242,3.84619,4.08201,4.28835,4.46419,4.60716,4.71899,4.80068,4.84638
baseline,SAF,0.507151,0.55142,0.57351,0.580101,0.595682,0.639852,0.694836,0.738003,0.764661,0.775819,0.777349,0.775616,0.774099,0.77494,0.777805,0.781802,0.786265,0.790655,0.794725,0.798333,0.801493,0.80424,0.806568,0.808465,0.809952,0.811038,0.811644
baseline,WEU,3.13174,2.99797,2.88469,2.82868,2.8725,3.04096,3.28211,3.52721,3.71718,3.81997,3.90227,4.02298,4.1113,4.10354,4.09409,4.1809,4.31803,4.43935,4.54198,4.63614,4.72113,4.79424,4.8555,4.90562,4.94508,4.97384,4.98987
baseline,CEU,0.784933,0.762347,0.745368,0.763456,0.797259,0.8223,0.842412,0.86469,0.88096,0.882262,0.871783,0.853642,0.823541,0.780111,0.742087,0.726163,0.720734,0.711215,0.69938,0.689852,0.682297,0.675473,0.669484,0.664666,0.660943,0.658211,0.656672
baseline,TUR,0.435783,0.492239,0.52996,0.54215,0.545496,0.558791,0.585767,0.624143,0.66265,0.69081,0.710299,0.725765,0.741595,0.759477,0.770554,0.767166,0.756966,0.749101,0.743378,0.737799,0.732507,0.728035,0.724354,0.721323,0.718919,0.717171,0.716201
baseline,UKR,0.403864,0.401692,0.415451,0.46025,0.50401,0.516025,0.518264,0.535479,0.550878,0.544911,0.528551,0.516616,0.508792,0.502243,0.499172,0.501742,0.50692,0.511233,0.514668,0.517894,0.520866,0.523404,0.525515,0.527246,0.528614,0.52961,0.530164
baseline,STAN,0.485141,0.518309,0.546231,0.555222,0.543363,0.51735,0.506576,0.531946,0.557733,0.553108,0.563493,0.629965,0.69998,0.717489,0.70605,0.700334,0.699875,0.697421,0.693701,0.690867,0.688762,0.68681,0.685057,0.683658,0.682587,0.681799,0.681353
baseline,RUS,1.8782,1.99533,2.08462,2.12199,2.11877,2.0949,2.06921,2.05925,2.07853,2.12469,2.13591,2.06453,1.97899,1.95072,1.94692,1.92212,1.88422,1.85038,1.82151,1.79511,1.77135,1.75089,1.73373,1.71969,1.70865,1.70059,1.6961
baseline,ME,2.00627,2.10534,2.21721,2.39215,2.58611,2.74985,2.90768,3.08874,3.2679,3.41487,3.53286,3.63707,3.7568,3.91259,4.07565,4.21567,4.34561,4.48237,4.61556,4.73161,4.83153,4.91897,4.99351,5.0541,5.10149,5.13611,5.15548
baseline,INDIA,2.77719,3.39385,3.97614,4.48822,5.05754,5.80403,6.65448,7.51087,8.36932,9.22429,9.96951,10.5163,10.9464,11.3496,11.6761,11.8729,12.0136,12.1787,12.3511,12.4977,12.6211,12.73,12.8236,12.8994,12.9586,13.0018,13.0261
baseline,KOR,0.784572,0.832646,0.861087,0.859126,0.839708,0.818114,0.795251,0.768958,0.739179,0.705927,0.667399,0.622893,0.577913,0.538754,0.508661,0.48843,0.472114,0.45394,0.435566,0.419764,0.406328,0.394514,0.3844,0.37619,0.369781,0.365095,0.362471
baseline,CHN,11.3913,12.3409,12.977,13.2454,13.25,13.1047,12.805,12.3279,11.6962,10.9412,10.0828,9.1585,8.28772,7.58632,7.07358,6.72509,6.43847,6.12182,5.80336,5.52898,5.29528,5.08992,4.91421,4.77156,4.66017,4.57874,4.53315
baseline,SEAS,1.51417,1.81039,2.07059,2.22389,2.28259,2.2905,2.33417,2.47726,2.64915,2.77619,2.90709,3.08594,3.2161,3.21587,3.20421,3.30573,3.46719,3.60977,3.73018,3.84072,3.94056,4.02642,4.09835,4.1572,4.20355,4.23733,4.25615
baseline,INDO,1.63506,1.70037,1.76219,1.8435,1.8944,1.87365,1.84736,1.88564,1.96713,2.04999,2.10178,2.1055,2.09651,2.11158,2.14079,2.16703,2.19098,2.21636,2.24117,2.26276,2.28133,2.29758,2.31144,2.32271,2.33152,2.33795,2.34156
baseline,JAP,1.06462,1.01508,0.976594,0.95715,0.954205,0.962775,0.978633,0.996282,1.00439,0.993171,0.964772,0.926124,0.891273,0.87163,0.860933,0.850437,0.839121,0.827853,0.81731,0.807993,0.799861,0.792781,0.786775,0.781883,0.77805,0.775252,0.773688
baseline,OCE,0.388396,0.370183,0.367532,0.419941,0.489457,0.527619,0.521411,0.478493,0.453802,0.489184,0.526855,0.508869,0.476266,0.478661,0.500997,0.518489,0.532114,0.547517,0.563232,0.576705,0.588126,0.59818,0.606796,0.613788,0.619243,0.623233,0.625467
baseline,RSAS,0.417044,0.539085,0.668519,0.798955,0.944922,1.12495,1.35264,1.63227,1.93571,2.23669,2.54868,2.88994,3.25806,3.64735,4.0597,4.49668,4.95106,5.40943,5.84242,6.22377,6.55551,6.84473,7.09033,7.29027,7.44687,7.56123,7.62514
baseline,RSAF,0.786528,0.718094,0.787644,1.13764,1.43626,1.3616,1.10586,0.936728,0.909927,1.01939,1.22387,1.47408,1.72357,1.94114,2.15382,2.39309,2.65,2.90621,3.14617,3.35816,3.5431,3.70417,3.84081,3.95208,4.03928,4.10294,4.13851
relative_abatement,CAN,0,0.264511,0.52567,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.835171,0.88921,0.943977,1.00004,1.05905,1.12332,1.19311,1.27002,1,1,1,1,1,1,1,1,1,1
relative_abatement,USA,0,0.217869,0.458897,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.889209,0.943976,1.00004,1.05904,1.12332,1.19311,1.27002,0.999999,1,1,1,1,1,1,1,1,1
relative_abatement,MEX,0,0.270416,0.525673,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.88921,0.943977,1.00004,1.05905,1.12332,1.19311,1.27002,1,1,1,1,1,1,1,1,1,0.999999
relative_abatement,RCAM,0,0.290455,0.525673,0.565903,0.603066,0.638929,0.681064,0.730383,0.78216,0.835171,0.88921,0.943977,1.00004,1.05906,1.12806,1.19645,1.26042,1,1,1,1,1,1,1,1,1,0.999994
relative_abatement,BRA,0,0.265701,0.525674,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.88921,0.943976,1.00004,1.05905,1.12332,1.19311,1.27002,1,1,1,1,1,1,1,1,1,1
relative_abatement,RSAM,0,0.327066,0.525674,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.88921,0.943976,1.00004,1.05904,1.12332,1.19311,1.27002,1,1,1,1,1,1,1,1,1,1
relative_abatement,NAF,0,0.33166,0.525674,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.88921,0.943977,1.00004,1.05905,1.12332,1.19312,1.27001,1,1,1,1,1,1,1,1,1,0.999998
relative_abatement,WAF,0,0.485355,0.525675,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.83517,0.88921,0.943976,1.00004,1.07579,1.14129,1.1901,1.22728,1,1,1,1,1,1,0.999999,0.999999,0.999999,1
relative_abatement,EAF,0,0.485355,0.525675,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.835173,0.925875,1.00098,1.04722,1.07468,1.09302,1.10833,1.12113,1,1,1,1,1,1,1,1,1,0.99999
relative_abatement,SAF,0,0.310211,0.525674,0.565903,0.603066,0.638929,0.681064,0.730383,0.782159,0.835171,0.88921,0.943977,1.00004,1.05905,1.12332,1.19311,1.27002,1,1,1,1,1,1,1,1,1,1
