Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
baseline,WAF,GtCO2/yr,1.817,2.79719,3.32389,3.05124,2.62773,2.68366,2.75142,2.33947,1.97683,2.24867,2.95115,3.74941,4.565,5.38862,6.22872,7.09342,7.97558
baseline,EAF,GtCO2/yr,0.283526,0.469483,0.608076,0.634422,0.603462,0.586379,0.594482,0.626825,0.694129,0.810773,0.994856,1.2606,1.60365,2.00419,2.39843,2.73328,3.04075
baseline,SAF,GtCO2/yr,0.507151,0.556785,0.581789,0.58928,0.604926,0.649145,0.70412,0.747038,0.773209,0.783683,0.784371,0.781707,0.779263,0.779221,0.781202,0.784325,0.788119
baseline,WEU,GtCO2/yr,3.13174,2.97912,2.86205,2.80727,2.85382,3.02537,3.26984,3.51854,3.71254,3.81955,3.90516,4.02789,4.1174,4.11028,4.1011,4.18803,4.32533
baseline,CEU,GtCO2/yr,0.784933,0.76169,0.744964,0.763061,0.796489,0.820868,0.840392,0.862365,0.878735,0.880484,0.870338,0.852194,0.821982,0.778516,0.740562,0.724778,0.719537
baseline,TUR,GtCO2/yr,0.435783,0.495079,0.534243,0.546944,0.550391,0.56374,0.590773,0.629189,0.667662,0.695654,0.714814,0.729821,0.745168,0.762598,0.773204,0.769323,0.758739
baseline,UKR,GtCO2/yr,0.403864,0.404624,0.420231,0.466273,0.510416,0.521835,0.523377,0.540322,0.55571,0.54969,0.532937,0.520299,0.511753,0.504615,0.501058,0.503216,0.508094
baseline,STAN,GtCO2/yr,0.485141,0.531418,0.563148,0.571433,0.556632,0.527052,0.513409,0.536851,0.561381,0.556078,0.566086,0.632264,0.701932,0.719087,0.707372,0.701481,0.700928
baseline,RUS,GtCO2/yr,1.8782,2.00097,2.09344,2.13041,2.12347,2.09408,2.06438,2.05318,2.07329,2.1214,2.13393,2.0624,1.97629,1.94767,1.94373,1.91897,1.88131
baseline,ME,GtCO2/yr,2.00627,2.12581,2.2504,2.43313,2.63068,2.79422,2.95042,3.13007,3.30843,3.45496,3.572,3.67445,3.79243,3.94695,4.10886,4.24751,4.37591
baseline,INDIA,GtCO2/yr,2.77719,3.47624,4.11794,4.66496,5.25646,6.02207,6.88679,7.75008,8.6095,9.46046,10.1941,10.7213,11.1288,11.5095,11.8129,11.9864,12.1078
baseline,KOR,GtCO2/yr,0.784572,0.837386,0.867468,0.864619,0.843356,0.819905,0.795401,0.767742,0.736895,0.702883,0.663949,0.619376,0.574537,0.535596,0.505697,0.485603,0.469453
baseline,CHN,GtCO2/yr,11.3913,12.6081,13.3289,13.5593,13.4901,13.2747,12.9099,12.3738,11.6979,10.9157,10.0415,9.10847,8.23411,7.53222,7.0207,6.67445,6.39116
baseline,SEAS,GtCO2/yr,1.51417,1.83523,2.11376,2.27604,2.33698,2.34375,2.38574,2.52829,2.69946,2.82444,2.95286,3.1294,3.25614,3.25089,3.23442,3.33252,3.4915
baseline,INDO,GtCO2/yr,1.63506,1.74209,1.82337,1.91121,1.96095,1.93388,1.90026,1.9328,2.0094,2.08726,2.13367,2.13187,2.11809,2.12943,2.1555,2.17893,2.20069
baseline,JAP,GtCO2/yr,1.06462,1.01097,0.970361,0.949271,0.945271,0.953532,0.969627,0.987885,0.996838,0.986562,0.959058,0.921168,0.886961,0.867873,0.857667,0.847617,0.836719
