Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,INDO,1.82224,1.45658,1.34916,1.20746,1.0715,0.958156,0.859411,0.765376,0.670109,0.57127,0.472994,0.376086,0.274733,0.164337,0.0432127,-0.0885671,-0.230772,0.143373,0.114175,0.089137,0.0679467,0.0498366,0.0348198,0.0230986,0.014265,0.00837486,0.00603269
regional_emissions,JAP,1.09423,0.82067,0.547113,0.273557,0.00235642,-0.0685209,-0.13537,-0.198199,-0.256104,-0.30846,-0.353991,-0.392194,-0.424729,-0.453744,-0.480922,-0.507797,-0.50146,-0.402829,-0.402153,-0.401905,-0.402104,-0.402611,-0.403401,-0.404499,-0.405838,-0.40731,-0.403267
regional_emissions,OCE,0.436443,0.327332,0.218222,0.109111,5.81963e-08,-0.109111,-0.198795,-0.225311,-0.248721,-0.294303,-0.338705,-0.344415,-0.339492,-0.377256,-0.425331,-0.40344,-0.356051,-0.317188,-0.286768,-0.257994,-0.231342,-0.20863,-0.189773,-0.174294,-0.16206,-0.153154,-0.148203
regional_emissions,RSAS,0.475681,0.554724,0.659802,0.741952,0.824998,0.930302,1.0559,1.19061,1.30979,1.39599,1.46752,1.53981,1.60036,1.63692,1.65448,1.65064,1.60533,2.23407,2.34915,2.44824,2.53338,2.60676,2.66887,2.72,2.76064,2.79157,2.81131
regional_emissions,RSAF,1.0199,0.922544,0.897776,0.983808,1.15437,1.32005,1.21007,0.955099,0.700124,0.633388,0.760332,0.816852,0.822525,0.830534,0.857405,0.898459,0.922499,1.26903,1.36292,1.44415,1.51421,1.57426,1.62473,1.66601,1.69895,1.72378,1.73923
baseline,CAN,0.510176,0.520736,0.546376,0.578326,0.591071,0.567359,0.539741,0.541421,0.558403,0.568728,0.565785,0.545096,0.495358,0.415506,0.352263,0.346589,0.368607,0.380678,0.38495,0.39096,0.398025,0.403591,0.407831,0.411427,0.414369,0.416484,0.417637
baseline,USA,5.51298,5.2237,4.94929,4.84868,4.89463,5.01017,5.1056,5.11685,5.09506,5.09179,5.04497,4.89741,4.72504,4.60599,4.49413,4.33204,4.14133,3.957,3.78853,3.63838,3.50629,3.39161,3.29461,3.21553,3.15349,3.10822,3.08293
baseline,MEX,0.714309,0.742382,0.789683,0.880349,0.958326,0.971624,0.964706,0.990598,1.04012,1.09323,1.14856,1.20731,1.26221,1.30874,1.36176,1.43519,1.51956,1.60175,1.67735,1.74458,1.80359,1.85486,1.89826,1.93364,1.96138,1.98163,1.99294
baseline,RCAM,0.329563,0.380902,0.435182,0.478452,0.515512,0.555484,0.606008,0.672229,0.750772,0.836568,0.926291,1.01819,1.11502,1.2202,1.33514,1.45981,1.59056,1.72205,1.84598,1.95522,2.05032,2.13321,2.20357,2.26086,2.30574,2.33851,2.35683
baseline,BRA,1.96872,2.24179,2.29176,2.09569,2.03284,2.40494,2.80141,2.7763,2.45455,2.08127,1.81142,1.73451,1.76858,1.8063,1.81044,1.77007,1.70933,1.65487,1.60822,1.56562,1.52733,1.49434,1.46666,1.44402,1.42621,1.41323,1.40599
