Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140
baseline,KOR,0.743365,0.78114,0.796664,0.77421,0.731402,0.689445,0.65051,0.612593,0.576018,0.540734,0.502868,0.460115,0.420277,0.391631,0.374256,0.365504,0.360034,0.353198,0.345812,0.3396,0.334435,0.329855,0.325902,0.322703,0.320214
baseline,CHN,10.3365,11.5139,12.2301,12.113,11.5405,10.9919,10.5997,10.3718,10.1638,9.7992,9.12486,8.0811,6.95935,6.07834,5.51512,5.24764,5.09904,4.90209,4.68295,4.50038,4.35009,4.2163,4.10044,4.00678,3.934
baseline,SEAS,1.51886,1.71165,1.9807,2.31363,2.47285,2.28591,2.06623,2.12682,2.29306,2.35258,2.42962,2.65059,2.81416,2.72789,2.56288,2.51807,2.54014,2.53747,2.51741,2.50526,2.49922,2.49249,2.48558,2.4803,2.47648
baseline,INDO,1.64013,1.68675,1.71473,1.75279,1.78568,1.79731,1.81243,1.8579,1.92812,2.00376,2.04294,2.0145,1.95276,1.89744,1.84439,1.78223,1.71427,1.64692,1.58415,1.52859,1.48005,1.43779,1.40197,1.37279,1.34992
baseline,JAP,1.0724,1.01732,0.963977,0.915593,0.878891,0.85993,0.858617,0.869519,0.871981,0.846758,0.795459,0.727321,0.661242,0.614031,0.584501,0.566596,0.552809,0.537147,0.521117,0.507389,0.495764,0.485527,0.476749,0.469628,0.464072
baseline,OCE,0.303225,0.27365,0.28551,0.372451,0.452255,0.44415,0.388985,0.347438,0.337884,0.360828,0.38761,0.392038,0.386963,0.389719,0.396534,0.4004,0.40249,0.405299,0.408446,0.411063,0.413212,0.415126,0.416786,0.418127,0.419168
baseline,RSAS,0.452158,0.538782,0.617916,0.690937,0.750943,0.79579,0.850656,0.93636,1.02896,1.10165,1.16091,1.2189,1.27722,1.33452,1.38823,1.43681,1.48385,1.53256,1.57947,1.6205,1.65596,1.68695,1.71333,1.73479,1.75158
baseline,RSAF,0.860255,0.647596,0.731723,1.35185,1.82126,1.50389,0.892078,0.588218,0.506352,0.452268,0.487031,0.678303,0.864849,0.894273,0.878433,0.951859,1.07552,1.18308,1.2726,1.35526,1.43027,1.49466,1.54852,1.59261,1.62736
relative_abatement,CAN,0,0.262674,0.531436,0.670742,0.748639,0.823184,0.897799,0.97047,1.0436,1.1223,1.20742,1.30015,1.40383,1.52123,1.59183,1.61449,1.63614,1.40939,1.41354,1.41564,1.41628,1.4167,1.4134,1.40995,1.40762
relative_abatement,USA,0,0.210428,0.446962,0.714414,0.93695,1.01542,1.09162,1.16831,1.24717,1.33063,1.41722,1.50416,1.59116,1.67591,1.70165,1.72587,1.74901,1.50438,1.49847,1.49189,1.48501,1.47852,1.46879,1.45973,1.45273
relative_abatement,MEX,0,0.287316,0.412258,0.483257,0.556939,0.630795,0.710558,0.798663,0.894079,0.995582,1.10341,1.21902,1.34329,1.4759,1.61709,1.7699,1.93881,1.46019,1.49306,1.52078,1.54385,1.56375,1.57578,1.58394,1.59013
relative_abatement,RCAM,0,0.226229,0.279431,0.32662,0.372357,0.415727,0.459791,0.505023,0.551049,0.598047,0.646041,0.69496,0.744952,0.79634,0.84964,0.905823,0.965684,0.688217,0.680007,0.671437,0.662898,0.654857,0.645396,0.636612,0.629173
relative_abatement,BRA,0,0.276768,0.551393,0.707997,0.801993,0.893517,0.992926,1.1068,1.23295,1.36362,1.49398,1.62245,1.76176,1.9384,2,2,2,1.99987,1.99997,1.99997,1.99995,1.9997,2.42803e-05,1.40582e-05,1.20208e-05
relative_abatement,RSAM,0,0.323129,0.566812,0.687259,0.78712,0.882304,0.981778,1.09239,1.21361,1.34139,1.47175,1.60182,1.73982,1.90127,2,2,2,1.85596,1.88317,1.90426,1.9202,1.93328,1.93823,1.9401,1.9413
relative_abatement,NAF,0,0.123454,0.157563,0.191009,0.225247,0.259214,0.295404,0.33496,0.377931,0.424435,0.473913,0.525907,0.581015,0.639837,0.70238,0.769223,0.8422,0.624617,0.636882,0.647095,0.655431,0.662557,0.666307,0.668615,0.670141
